VIN	V(vo)
1.660000000000000e+01	5.175896e+00
1.670000000000000e+01	5.178234e+00
1.680000000000000e+01	5.180571e+00
1.690000000000000e+01	5.182905e+00
1.700000000000000e+01	5.185236e+00
1.710000000000000e+01	5.187567e+00
1.720000000000000e+01	5.189895e+00
1.730000000000000e+01	5.192222e+00
1.740000000000000e+01	5.194547e+00
1.750000000000000e+01	5.196870e+00
1.760000000000000e+01	5.199192e+00
1.770000000000000e+01	5.201512e+00
1.780000000000000e+01	5.203831e+00
1.790000000000000e+01	5.206149e+00
1.800000000000000e+01	5.208465e+00
1.810000000000000e+01	5.210780e+00
1.820000000000000e+01	5.213094e+00
1.830000000000000e+01	5.215407e+00
1.840000000000000e+01	5.217719e+00
1.850000000000000e+01	5.220030e+00
1.860000000000000e+01	5.222340e+00
1.870000000000000e+01	5.224649e+00
1.880000000000000e+01	5.226958e+00
1.890000000000000e+01	5.229266e+00
1.900000000000000e+01	5.231573e+00
1.910000000000000e+01	5.233879e+00
1.920000000000000e+01	5.236185e+00
1.930000000000000e+01	5.238491e+00
1.940000000000000e+01	5.240796e+00
1.950000000000000e+01	5.243100e+00
1.960000000000000e+01	5.245405e+00
1.970000000000000e+01	5.247708e+00
1.980000000000000e+01	5.250012e+00
1.990000000000000e+01	5.252316e+00
2.000000000000000e+01	5.254619e+00
2.010000000000000e+01	5.256922e+00
2.020000000000000e+01	5.259224e+00
2.030000000000000e+01	5.261528e+00
2.040000000000000e+01	5.263830e+00
2.050000000000000e+01	5.266133e+00
2.060000000000000e+01	5.268436e+00
2.070000000000000e+01	5.270739e+00
2.080000000000000e+01	5.273042e+00
2.090000000000000e+01	5.275345e+00
2.100000000000000e+01	5.277649e+00
2.110000000000000e+01	5.279953e+00
2.120000000000000e+01	5.282257e+00
2.130000000000000e+01	5.284561e+00
2.140000000000000e+01	5.286865e+00
2.150000000000000e+01	5.289170e+00
2.160000000000000e+01	5.291475e+00
2.170000000000000e+01	5.293781e+00
2.180000000000000e+01	5.296087e+00
2.190000000000000e+01	5.298394e+00
2.200000000000000e+01	5.300701e+00
2.210000000000000e+01	5.303009e+00
2.220000000000000e+01	5.305317e+00
2.230000000000000e+01	5.307626e+00
2.240000000000000e+01	5.309935e+00
2.250000000000000e+01	5.312245e+00
2.260000000000000e+01	5.314556e+00
2.270000000000000e+01	5.316867e+00
2.280000000000000e+01	5.319180e+00
2.290000000000000e+01	5.321492e+00
2.300000000000000e+01	5.323806e+00
2.310000000000000e+01	5.326120e+00
2.320000000000000e+01	5.328436e+00
2.330000000000000e+01	5.330752e+00
2.340000000000000e+01	5.333069e+00
2.350000000000000e+01	5.335386e+00
2.360000000000000e+01	5.337705e+00
2.370000000000000e+01	5.340024e+00
2.380000000000000e+01	5.342345e+00
2.390000000000000e+01	5.344666e+00
2.400000000000000e+01	5.346989e+00
2.410000000000000e+01	5.349313e+00
2.420000000000000e+01	5.351637e+00
2.430000000000000e+01	5.353962e+00
2.440000000000000e+01	5.356289e+00
2.450000000000000e+01	5.358617e+00
2.460000000000000e+01	5.360946e+00
2.470000000000000e+01	5.363276e+00
2.480000000000000e+01	5.365606e+00
2.490000000000000e+01	5.367939e+00
2.500000000000000e+01	5.370272e+00
2.510000000000000e+01	5.372606e+00
2.520000000000000e+01	5.374942e+00
2.530000000000000e+01	5.377279e+00
2.540000000000000e+01	5.379617e+00
2.550000000000000e+01	5.381956e+00
2.560000000000000e+01	5.384296e+00
2.570000000000000e+01	5.386639e+00
2.580000000000000e+01	5.388981e+00
2.590000000000000e+01	5.391326e+00
2.600000000000000e+01	5.393672e+00
2.610000000000000e+01	5.396019e+00
2.620000000000000e+01	5.398367e+00
2.630000000000000e+01	5.400717e+00
2.640000000000000e+01	5.403068e+00
2.650000000000000e+01	5.405421e+00
2.660000000000000e+01	5.407774e+00
2.670000000000000e+01	5.410130e+00
2.680000000000000e+01	5.412487e+00
2.690000000000000e+01	5.414845e+00
2.700000000000000e+01	5.417204e+00
2.710000000000000e+01	5.419565e+00
2.720000000000000e+01	5.421928e+00
2.730000000000000e+01	5.424292e+00
2.740000000000000e+01	5.426657e+00
2.750000000000000e+01	5.429024e+00
2.760000000000000e+01	5.431393e+00
2.770000000000000e+01	5.433763e+00
2.780000000000000e+01	5.436135e+00
2.790000000000000e+01	5.438508e+00
2.800000000000000e+01	5.440883e+00
2.810000000000000e+01	5.443259e+00
2.820000000000000e+01	5.445637e+00
2.830000000000000e+01	5.448016e+00
2.840000000000000e+01	5.450397e+00
2.850000000000000e+01	5.452780e+00
2.860000000000000e+01	5.455164e+00
2.870000000000000e+01	5.457550e+00
2.880000000000000e+01	5.459938e+00
2.890000000000000e+01	5.462327e+00
2.900000000000000e+01	5.464717e+00
2.910000000000000e+01	5.467110e+00
2.920000000000000e+01	5.469504e+00
2.930000000000000e+01	5.471900e+00
2.940000000000000e+01	5.474298e+00
2.950000000000000e+01	5.476696e+00
2.960000000000000e+01	5.479098e+00
2.970000000000000e+01	5.481500e+00
2.980000000000000e+01	5.483905e+00
2.990000000000000e+01	5.486311e+00
3.000000000000000e+01	5.488719e+00
