r_l	V(vin)	V(vo)	I(RL1)	I(VIN)
1.485935642287015e-03	9.500000e+00	2.229517e-03	1.500413e+00	-1.501472e+00
1.492794409579004e-03	9.500000e+00	2.239808e-03	1.500413e+00	-1.501472e+00
1.499684835502382e-03	9.500000e+00	2.250146e-03	1.500413e+00	-1.501472e+00
1.506607066186750e-03	9.500000e+00	2.260532e-03	1.500413e+00	-1.501472e+00
1.513561248436217e-03	9.500000e+00	2.270966e-03	1.500413e+00	-1.501472e+00
1.520547529732504e-03	9.500000e+00	2.281449e-03	1.500413e+00	-1.501472e+00
1.527566058238081e-03	9.500000e+00	2.291979e-03	1.500413e+00	-1.501472e+00
1.534616982799303e-03	9.500000e+00	2.302559e-03	1.500413e+00	-1.501472e+00
1.541700452949568e-03	9.500000e+00	2.313187e-03	1.500412e+00	-1.501472e+00
1.548816618912490e-03	9.500000e+00	2.323864e-03	1.500412e+00	-1.501472e+00
1.555965631605084e-03	9.500000e+00	2.334590e-03	1.500412e+00	-1.501472e+00
1.563147642640963e-03	9.500000e+00	2.345366e-03	1.500412e+00	-1.501472e+00
1.570362804333562e-03	9.500000e+00	2.356192e-03	1.500412e+00	-1.501472e+00
1.577611269699358e-03	9.500000e+00	2.367068e-03	1.500412e+00	-1.501472e+00
1.584893192461123e-03	9.500000e+00	2.377993e-03	1.500412e+00	-1.501472e+00
1.592208727051180e-03	9.500000e+00	2.388970e-03	1.500412e+00	-1.501472e+00
1.599558028614679e-03	9.500000e+00	2.399997e-03	1.500412e+00	-1.501472e+00
1.606941253012888e-03	9.500000e+00	2.411074e-03	1.500412e+00	-1.501472e+00
1.614358556826497e-03	9.500000e+00	2.422203e-03	1.500412e+00	-1.501472e+00
1.621810097358941e-03	9.500000e+00	2.433384e-03	1.500412e+00	-1.501472e+00
1.629296032639733e-03	9.500000e+00	2.444616e-03	1.500412e+00	-1.501472e+00
1.636816521427819e-03	9.500000e+00	2.455899e-03	1.500412e+00	-1.501472e+00
1.644371723214943e-03	9.500000e+00	2.467235e-03	1.500412e+00	-1.501472e+00
1.651961798229026e-03	9.500000e+00	2.478624e-03	1.500412e+00	-1.501472e+00
1.659586907437572e-03	9.500000e+00	2.490064e-03	1.500412e+00	-1.501472e+00
1.667247212551074e-03	9.500000e+00	2.501558e-03	1.500412e+00	-1.501472e+00
1.674942876026449e-03	9.500000e+00	2.513105e-03	1.500412e+00	-1.501472e+00
1.682674061070479e-03	9.500000e+00	2.524704e-03	1.500412e+00	-1.501472e+00
1.690440931643276e-03	9.500000e+00	2.536358e-03	1.500412e+00	-1.501472e+00
1.698243652461756e-03	9.500000e+00	2.548065e-03	1.500412e+00	-1.501472e+00
1.706082389003136e-03	9.500000e+00	2.559826e-03	1.500412e+00	-1.501472e+00
1.713957307508438e-03	9.500000e+00	2.571642e-03	1.500412e+00	-1.501472e+00
1.721868574986019e-03	9.500000e+00	2.583512e-03	1.500412e+00	-1.501472e+00
1.729816359215114e-03	9.500000e+00	2.595437e-03	1.500412e+00	-1.501472e+00
1.737800828749388e-03	9.500000e+00	2.607417e-03	1.500412e+00	-1.501472e+00
1.745822152920517e-03	9.500000e+00	2.619452e-03	1.500412e+00	-1.501472e+00
1.753880501841774e-03	9.500000e+00	2.631543e-03	1.500412e+00	-1.501472e+00
1.761976046411642e-03	9.500000e+00	2.643690e-03	1.500412e+00	-1.501472e+00
1.770108958317435e-03	9.500000e+00	2.655892e-03	1.500412e+00	-1.501472e+00
1.778279410038937e-03	9.500000e+00	2.668151e-03	1.500412e+00	-1.501472e+00
1.786487574852065e-03	9.500000e+00	2.680467e-03	1.500412e+00	-1.501472e+00
1.794733626832540e-03	9.500000e+00	2.692839e-03	1.500412e+00	-1.501472e+00
1.803017740859583e-03	9.500000e+00	2.705269e-03	1.500412e+00	-1.501472e+00
1.811340092619617e-03	9.500000e+00	2.717756e-03	1.500412e+00	-1.501471e+00
1.819700858609998e-03	9.500000e+00	2.730300e-03	1.500412e+00	-1.501471e+00
1.828100216142758e-03	9.500000e+00	2.742903e-03	1.500412e+00	-1.501471e+00
1.836538343348361e-03	9.500000e+00	2.755563e-03	1.500412e+00	-1.501471e+00
1.845015419179489e-03	9.500000e+00	2.768282e-03	1.500411e+00	-1.501471e+00
1.853531623414827e-03	9.500000e+00	2.781060e-03	1.500411e+00	-1.501471e+00
1.862087136662883e-03	9.500000e+00	2.793897e-03	1.500411e+00	-1.501471e+00
1.870682140365816e-03	9.500000e+00	2.806793e-03	1.500411e+00	-1.501471e+00
1.879316816803284e-03	9.500000e+00	2.819748e-03	1.500411e+00	-1.501471e+00
1.887991349096310e-03	9.500000e+00	2.832764e-03	1.500411e+00	-1.501471e+00
1.896705921211163e-03	9.500000e+00	2.845839e-03	1.500411e+00	-1.501471e+00
1.905460717963264e-03	9.500000e+00	2.858975e-03	1.500411e+00	-1.501471e+00
1.914255925021102e-03	9.500000e+00	2.872171e-03	1.500411e+00	-1.501471e+00
1.923091728910175e-03	9.500000e+00	2.885428e-03	1.500411e+00	-1.501471e+00
1.931968317016941e-03	9.500000e+00	2.898747e-03	1.500411e+00	-1.501471e+00
1.940885877592795e-03	9.500000e+00	2.912127e-03	1.500411e+00	-1.501471e+00
1.949844599758063e-03	9.500000e+00	2.925568e-03	1.500411e+00	-1.501471e+00
1.958844673506007e-03	9.500000e+00	2.939072e-03	1.500411e+00	-1.501471e+00
1.967886289706863e-03	9.500000e+00	2.952638e-03	1.500411e+00	-1.501471e+00
1.976969640111879e-03	9.500000e+00	2.966267e-03	1.500411e+00	-1.501471e+00
1.986094917357390e-03	9.500000e+00	2.979958e-03	1.500411e+00	-1.501471e+00
1.995262314968898e-03	9.500000e+00	2.993713e-03	1.500411e+00	-1.501471e+00
2.004472027365180e-03	9.500000e+00	3.007532e-03	1.500411e+00	-1.501471e+00
2.013724249862407e-03	9.500000e+00	3.021414e-03	1.500411e+00	-1.501471e+00
2.023019178678291e-03	9.500000e+00	3.035360e-03	1.500411e+00	-1.501471e+00
2.032357010936241e-03	9.500000e+00	3.049370e-03	1.500411e+00	-1.501471e+00
2.041737944669549e-03	9.500000e+00	3.063445e-03	1.500411e+00	-1.501471e+00
2.051162178825585e-03	9.500000e+00	3.077586e-03	1.500411e+00	-1.501471e+00
2.060629913270020e-03	9.500000e+00	3.091791e-03	1.500411e+00	-1.501471e+00
2.070141348791062e-03	9.500000e+00	3.106062e-03	1.500411e+00	-1.501471e+00
2.079696687103716e-03	9.500000e+00	3.120399e-03	1.500411e+00	-1.501471e+00
2.089296130854060e-03	9.500000e+00	3.134802e-03	1.500411e+00	-1.501471e+00
2.098939883623545e-03	9.500000e+00	3.149271e-03	1.500411e+00	-1.501471e+00
2.108628149933311e-03	9.500000e+00	3.163808e-03	1.500411e+00	-1.501470e+00
2.118361135248523e-03	9.500000e+00	3.178411e-03	1.500410e+00	-1.501470e+00
2.128139045982733e-03	9.500000e+00	3.193082e-03	1.500410e+00	-1.501470e+00
2.137962089502254e-03	9.500000e+00	3.207820e-03	1.500410e+00	-1.501470e+00
2.147830474130555e-03	9.500000e+00	3.222627e-03	1.500410e+00	-1.501470e+00
2.157744409152689e-03	9.500000e+00	3.237502e-03	1.500410e+00	-1.501470e+00
2.167704104819717e-03	9.500000e+00	3.252445e-03	1.500410e+00	-1.501470e+00
2.177709772353182e-03	9.500000e+00	3.267458e-03	1.500410e+00	-1.501470e+00
2.187761623949575e-03	9.500000e+00	3.282540e-03	1.500410e+00	-1.501470e+00
2.197859872784848e-03	9.500000e+00	3.297691e-03	1.500410e+00	-1.501470e+00
2.208004733018923e-03	9.500000e+00	3.312913e-03	1.500410e+00	-1.501470e+00
2.218196419800242e-03	9.500000e+00	3.328204e-03	1.500410e+00	-1.501470e+00
2.228435149270328e-03	9.500000e+00	3.343567e-03	1.500410e+00	-1.501470e+00
2.238721138568364e-03	9.500000e+00	3.359000e-03	1.500410e+00	-1.501470e+00
2.249054605835805e-03	9.500000e+00	3.374504e-03	1.500410e+00	-1.501470e+00
2.259435770221003e-03	9.500000e+00	3.390080e-03	1.500410e+00	-1.501470e+00
2.269864851883847e-03	9.500000e+00	3.405728e-03	1.500410e+00	-1.501470e+00
2.280342072000443e-03	9.500000e+00	3.421448e-03	1.500410e+00	-1.501470e+00
2.290867652767798e-03	9.500000e+00	3.437240e-03	1.500410e+00	-1.501470e+00
2.301441817408535e-03	9.500000e+00	3.453106e-03	1.500410e+00	-1.501470e+00
2.312064790175621e-03	9.500000e+00	3.469045e-03	1.500410e+00	-1.501470e+00
2.322736796357133e-03	9.500000e+00	3.485057e-03	1.500410e+00	-1.501470e+00
2.333458062281029e-03	9.500000e+00	3.501143e-03	1.500410e+00	-1.501470e+00
2.344228815319949e-03	9.500000e+00	3.517304e-03	1.500410e+00	-1.501470e+00
2.355049283896037e-03	9.500000e+00	3.533539e-03	1.500410e+00	-1.501470e+00
2.365919697485785e-03	9.500000e+00	3.549849e-03	1.500410e+00	-1.501470e+00
2.376840286624904e-03	9.500000e+00	3.566234e-03	1.500410e+00	-1.501470e+00
2.387811282913206e-03	9.500000e+00	3.582695e-03	1.500409e+00	-1.501470e+00
2.398832919019519e-03	9.500000e+00	3.599232e-03	1.500409e+00	-1.501469e+00
2.409905428686623e-03	9.500000e+00	3.615845e-03	1.500409e+00	-1.501469e+00
2.421029046736207e-03	9.500000e+00	3.632535e-03	1.500409e+00	-1.501469e+00
2.432204009073844e-03	9.500000e+00	3.649302e-03	1.500409e+00	-1.501469e+00
2.443430552694001e-03	9.500000e+00	3.666146e-03	1.500409e+00	-1.501469e+00
2.454708915685060e-03	9.500000e+00	3.683068e-03	1.500409e+00	-1.501469e+00
2.466039337234369e-03	9.500000e+00	3.700068e-03	1.500409e+00	-1.501469e+00
2.477422057633316e-03	9.500000e+00	3.717147e-03	1.500409e+00	-1.501469e+00
2.488857318282421e-03	9.500000e+00	3.734304e-03	1.500409e+00	-1.501469e+00
2.500345361696462e-03	9.500000e+00	3.751541e-03	1.500409e+00	-1.501469e+00
2.511886431509611e-03	9.500000e+00	3.768857e-03	1.500409e+00	-1.501469e+00
2.523480772480606e-03	9.500000e+00	3.786253e-03	1.500409e+00	-1.501469e+00
2.535128630497939e-03	9.500000e+00	3.803730e-03	1.500409e+00	-1.501469e+00
2.546830252585073e-03	9.500000e+00	3.821287e-03	1.500409e+00	-1.501469e+00
2.558585886905678e-03	9.500000e+00	3.838925e-03	1.500409e+00	-1.501469e+00
2.570395782768896e-03	9.500000e+00	3.856645e-03	1.500409e+00	-1.501469e+00
2.582260190634629e-03	9.500000e+00	3.874446e-03	1.500409e+00	-1.501469e+00
2.594179362118847e-03	9.500000e+00	3.892330e-03	1.500409e+00	-1.501469e+00
2.606153549998929e-03	9.500000e+00	3.910296e-03	1.500409e+00	-1.501469e+00
2.618183008219019e-03	9.500000e+00	3.928345e-03	1.500409e+00	-1.501469e+00
2.630267991895416e-03	9.500000e+00	3.946477e-03	1.500409e+00	-1.501469e+00
2.642408757321981e-03	9.500000e+00	3.964693e-03	1.500409e+00	-1.501469e+00
2.654605561975574e-03	9.500000e+00	3.982993e-03	1.500409e+00	-1.501469e+00
2.666858664521515e-03	9.500000e+00	4.001378e-03	1.500409e+00	-1.501469e+00
2.679168324819067e-03	9.500000e+00	4.019847e-03	1.500409e+00	-1.501469e+00
2.691534803926952e-03	9.500000e+00	4.038401e-03	1.500408e+00	-1.501469e+00
2.703958364108880e-03	9.500000e+00	4.057042e-03	1.500408e+00	-1.501469e+00
2.716439268839119e-03	9.500000e+00	4.075768e-03	1.500408e+00	-1.501469e+00
2.728977782808078e-03	9.500000e+00	4.094581e-03	1.500408e+00	-1.501468e+00
2.741574171927919e-03	9.500000e+00	4.113480e-03	1.500408e+00	-1.501468e+00
2.754228703338204e-03	9.500000e+00	4.132467e-03	1.500408e+00	-1.501468e+00
2.766941645411549e-03	9.500000e+00	4.151542e-03	1.500408e+00	-1.501468e+00
2.779713267759327e-03	9.500000e+00	4.170704e-03	1.500408e+00	-1.501468e+00
2.792543841237376e-03	9.500000e+00	4.189956e-03	1.500408e+00	-1.501468e+00
2.805433637951752e-03	9.500000e+00	4.209295e-03	1.500408e+00	-1.501468e+00
