r_l	V(vo)	I(RL1)
2.365919697485785e-03	9.524007e-04	4.025499e-01
2.376840286624904e-03	9.567991e-04	4.025508e-01
2.387811282913206e-03	9.612178e-04	4.025518e-01
2.398832919019519e-03	9.656569e-04	4.025528e-01
2.409905428686623e-03	9.701166e-04	4.025538e-01
2.421029046736207e-03	9.745968e-04	4.025548e-01
2.432204009073844e-03	9.790978e-04	4.025558e-01
2.443430552694001e-03	9.836195e-04	4.025568e-01
2.454708915685060e-03	9.881621e-04	4.025578e-01
2.466039337234369e-03	9.927257e-04	4.025588e-01
2.477422057633316e-03	9.973105e-04	4.025598e-01
2.488857318282421e-03	1.001916e-03	4.025608e-01
2.500345361696462e-03	1.006544e-03	4.025618e-01
2.511886431509611e-03	1.011192e-03	4.025628e-01
2.523480772480606e-03	1.015862e-03	4.025639e-01
2.535128630497939e-03	1.020554e-03	4.025649e-01
2.546830252585073e-03	1.025267e-03	4.025659e-01
2.558585886905678e-03	1.030002e-03	4.025670e-01
2.570395782768896e-03	1.034759e-03	4.025680e-01
2.582260190634629e-03	1.039538e-03	4.025691e-01
2.594179362118847e-03	1.044339e-03	4.025701e-01
2.606153549998929e-03	1.049162e-03	4.025712e-01
2.618183008219019e-03	1.054008e-03	4.025723e-01
2.630267991895416e-03	1.058876e-03	4.025733e-01
2.642408757321981e-03	1.063766e-03	4.025744e-01
2.654605561975574e-03	1.068679e-03	4.025755e-01
2.666858664521515e-03	1.073615e-03	4.025766e-01
2.679168324819067e-03	1.078573e-03	4.025777e-01
2.691534803926952e-03	1.083555e-03	4.025788e-01
2.703958364108880e-03	1.088559e-03	4.025799e-01
2.716439268839119e-03	1.093587e-03	4.025810e-01
2.728977782808078e-03	1.098638e-03	4.025821e-01
2.741574171927919e-03	1.103712e-03	4.025832e-01
2.754228703338204e-03	1.108809e-03	4.025843e-01
2.766941645411549e-03	1.113930e-03	4.025854e-01
2.779713267759327e-03	1.119075e-03	4.025866e-01
2.792543841237376e-03	1.124244e-03	4.025877e-01
2.805433637951752e-03	1.129436e-03	4.025889e-01
2.818382931264493e-03	1.134653e-03	4.025900e-01
2.831391995799419e-03	1.139893e-03	4.025912e-01
2.844461107447955e-03	1.145158e-03	4.025923e-01
2.857590543374987e-03	1.150447e-03	4.025935e-01
2.870780582024732e-03	1.155761e-03	4.025947e-01
2.884031503126647e-03	1.161099e-03	4.025958e-01
2.897343587701364e-03	1.166462e-03	4.025970e-01
2.910717118066647e-03	1.171850e-03	4.025982e-01
2.924152377843377e-03	1.177262e-03	4.025994e-01
2.937649651961573e-03	1.182699e-03	4.026006e-01
2.951209226666428e-03	1.188162e-03	4.026018e-01
2.964831389524386e-03	1.193650e-03	4.026030e-01
2.978516429429233e-03	1.199163e-03	4.026042e-01
2.992264636608233e-03	1.204702e-03	4.026054e-01
3.006076302628275e-03	1.210266e-03	4.026067e-01
3.019951720402061e-03	1.215856e-03	4.026079e-01
3.033891184194316e-03	1.221472e-03	4.026091e-01
3.047894989628029e-03	1.227114e-03	4.026104e-01
3.061963433690723e-03	1.232782e-03	4.026116e-01
3.076096814740754e-03	1.238476e-03	4.026129e-01
3.090295432513637e-03	1.244197e-03	4.026141e-01
3.104559588128403e-03	1.249944e-03	4.026154e-01
3.118889584093985e-03	1.255717e-03	4.026167e-01
3.133285724315633e-03	1.261517e-03	4.026180e-01
3.147748314101364e-03	1.267344e-03	4.026192e-01
3.162277660168428e-03	1.273198e-03	4.026205e-01
3.176874070649820e-03	1.279079e-03	4.026218e-01
3.191537855100811e-03	1.284987e-03	4.026231e-01
3.206269324505516e-03	1.290922e-03	4.026244e-01
3.221068791283485e-03	1.296885e-03	4.026257e-01
3.235936569296333e-03	1.302876e-03	4.026271e-01
3.250872973854395e-03	1.308894e-03	4.026284e-01
3.265878321723410e-03	1.314940e-03	4.026297e-01
3.280952931131243e-03	1.321014e-03	4.026310e-01
3.296097121774630e-03	1.327115e-03	4.026324e-01
3.311311214825964e-03	1.333246e-03	4.026338e-01
3.326595532940099e-03	1.339404e-03	4.026351e-01
3.341950400261196e-03	1.345591e-03	4.026365e-01
3.357376142429601e-03	1.351807e-03	4.026378e-01
3.372873086588744e-03	1.358051e-03	4.026392e-01
3.388441561392081e-03	1.364324e-03	4.026406e-01
3.404081897010065e-03	1.370626e-03	4.026420e-01
3.419794425137145e-03	1.376958e-03	4.026434e-01
3.435579478998803e-03	1.383318e-03	4.026448e-01
3.451437393358620e-03	1.389708e-03	4.026462e-01
3.467368504525374e-03	1.396128e-03	4.026476e-01
3.483373150360176e-03	1.402577e-03	4.026490e-01
3.499451670283631e-03	1.409056e-03	4.026504e-01
3.515604405283040e-03	1.415565e-03	4.026519e-01
3.531831697919629e-03	1.422104e-03	4.026533e-01
3.548133892335815e-03	1.428673e-03	4.026548e-01
3.564511334262503e-03	1.435273e-03	4.026562e-01
3.580964371026422e-03	1.441903e-03	4.026577e-01
3.597493351557485e-03	1.448564e-03	4.026591e-01
3.614098626396195e-03	1.455255e-03	4.026606e-01
3.630780547701076e-03	1.461978e-03	4.026621e-01
3.647539469256141e-03	1.468731e-03	4.026636e-01
3.664375746478397e-03	1.475516e-03	4.026651e-01
3.681289736425378e-03	1.482332e-03	4.026666e-01
3.698281797802727e-03	1.489180e-03	4.026681e-01
3.715352290971790e-03	1.496059e-03	4.026696e-01
3.732501577957271e-03	1.502971e-03	4.026711e-01
3.749730022454901e-03	1.509914e-03	4.026726e-01
3.767037989839156e-03	1.516889e-03	4.026742e-01
3.784425847171001e-03	1.523896e-03	4.026757e-01
3.801893963205680e-03	1.530936e-03	4.026773e-01
3.819442708400534e-03	1.538009e-03	4.026788e-01
3.837072454922857e-03	1.545114e-03	4.026804e-01
3.854783576657788e-03	1.552252e-03	4.026820e-01
3.872576449216242e-03	1.559423e-03	4.026836e-01
3.890451449942877e-03	1.566627e-03	4.026851e-01
3.908408957924092e-03	1.573864e-03	4.026867e-01
3.926449353996071e-03	1.581135e-03	4.026883e-01
3.944573020752857e-03	1.588440e-03	4.026899e-01
3.962780342554467e-03	1.595778e-03	4.026915e-01
3.981071705535046e-03	1.603150e-03	4.026932e-01
3.999447497611048e-03	1.610557e-03	4.026948e-01
4.017908108489474e-03	1.617997e-03	4.026965e-01
4.036453929676126e-03	1.625472e-03	4.026981e-01
4.055085354483914e-03	1.632982e-03	4.026997e-01
4.073802778041204e-03	1.640526e-03	4.027014e-01
4.092606597300186e-03	1.648105e-03	4.027031e-01
4.111497211045301e-03	1.655719e-03	4.027047e-01
4.130475019901691e-03	1.663369e-03	4.027064e-01
4.149540426343709e-03	1.671054e-03	4.027081e-01
4.168693834703434e-03	1.678774e-03	4.027098e-01
4.187935651179264e-03	1.686530e-03	4.027115e-01
4.207266283844522e-03	1.694322e-03	4.027133e-01
4.226686142656111e-03	1.702150e-03	4.027150e-01
4.246195639463211e-03	1.710014e-03	4.027167e-01
4.265795188016010e-03	1.717914e-03	4.027185e-01
4.285485203974479e-03	1.725851e-03	4.027202e-01
4.305266104917191e-03	1.733825e-03	4.027219e-01
4.325138310350172e-03	1.741836e-03	4.027237e-01
4.345102241715801e-03	1.749883e-03	4.027255e-01
4.365158322401745e-03	1.757968e-03	4.027273e-01
4.385306977749944e-03	1.766091e-03	4.027291e-01
4.405548635065620e-03	1.774250e-03	4.027309e-01
4.425883723626354e-03	1.782448e-03	4.027327e-01
4.446312674691175e-03	1.790683e-03	4.027345e-01
4.466835921509721e-03	1.798957e-03	4.027363e-01
4.487453899331411e-03	1.807269e-03	4.027381e-01
4.508167045414692e-03	1.815619e-03	4.027400e-01
4.528975799036299e-03	1.824008e-03	4.027418e-01
4.549880601500579e-03	1.832436e-03	4.027437e-01
4.570881896148843e-03	1.840902e-03	4.027455e-01
4.591980128368780e-03	1.849408e-03	4.027474e-01
4.613175745603888e-03	1.857953e-03	4.027493e-01
4.634469197362975e-03	1.866538e-03	4.027512e-01
4.655860935229686e-03	1.875162e-03	4.027531e-01
4.677351412872078e-03	1.883827e-03	4.027550e-01
4.698941086052251e-03	1.892531e-03	4.027569e-01
4.720630412636003e-03	1.901276e-03	4.027588e-01
4.742419852602545e-03	1.910061e-03	4.027608e-01
4.764309868054257e-03	1.918886e-03	4.027627e-01
4.786300923226483e-03	1.927753e-03	4.027646e-01
4.808393484497387e-03	1.936660e-03	4.027666e-01
4.830588020397828e-03	1.945609e-03	4.027686e-01
4.852885001621313e-03	1.954599e-03	4.027706e-01
4.875284901033967e-03	1.963631e-03	4.027725e-01
4.897788193684567e-03	1.972704e-03	4.027745e-01
4.920395356814614e-03	1.981820e-03	4.027766e-01
4.943106869868460e-03	1.990977e-03	4.027786e-01
4.965923214503468e-03	2.000178e-03	4.027806e-01
4.988844874600230e-03	2.009420e-03	4.027826e-01
5.011872336272831e-03	2.018705e-03	4.027847e-01
5.035006087879157e-03	2.028034e-03	4.027867e-01
5.058246620031250e-03	2.037405e-03	4.027888e-01
5.081594425605716e-03	2.046820e-03	4.027909e-01
5.105049999754174e-03	2.056278e-03	4.027930e-01
5.128613839913761e-03	2.065780e-03	4.027950e-01
5.152286445817678e-03	2.075326e-03	4.027972e-01
5.176068319505791e-03	2.084916e-03	4.027992e-01
5.199959965335275e-03	2.094551e-03	4.028014e-01
5.223961889991313e-03	2.104230e-03	4.028035e-01
5.248074602497843e-03	2.113954e-03	4.028057e-01
5.272298614228345e-03	2.123723e-03	4.028078e-01
5.296634438916696e-03	2.133537e-03	4.028100e-01
5.321082592668061e-03	2.143397e-03	4.028122e-01
5.345643593969837e-03	2.153302e-03	4.028143e-01
5.370317963702648e-03	2.163253e-03	4.028165e-01
5.395106225151399e-03	2.173250e-03	4.028187e-01
5.420008904016361e-03	2.183293e-03	4.028209e-01
5.445026528424335e-03	2.193383e-03	4.028232e-01
5.470159628939841e-03	2.203519e-03	4.028254e-01
5.495408738576371e-03	2.213703e-03	4.028276e-01
5.520774392807700e-03	2.223933e-03	4.028299e-01
5.546257129579234e-03	2.234210e-03	4.028322e-01
5.571857489319426e-03	2.244536e-03	4.028344e-01
5.597576014951230e-03	2.254909e-03	4.028367e-01
5.623413251903621e-03	2.265330e-03	4.028390e-01
5.649369748123157e-03	2.275799e-03	4.028413e-01
5.675446054085603e-03	2.286317e-03	4.028436e-01
5.701642722807608e-03	2.296884e-03	4.028459e-01
5.727960309858426e-03	2.307499e-03	4.028483e-01
5.754399373371704e-03	2.318163e-03	4.028506e-01
5.780960474057317e-03	2.328877e-03	4.028530e-01
5.807644175213257e-03	2.339641e-03	4.028553e-01
5.834451042737585e-03	2.350454e-03	4.028577e-01
5.861381645140426e-03	2.361317e-03	4.028601e-01
5.888436553556030e-03	2.372230e-03	4.028625e-01
5.915616341754881e-03	2.383194e-03	4.028649e-01
5.942921586155868e-03	2.394209e-03	4.028674e-01
5.970352865838511e-03	2.405275e-03	4.028698e-01
5.997910762555238e-03	2.416392e-03	4.028723e-01
6.025595860743723e-03	2.427560e-03	4.028747e-01
6.053408747539281e-03	2.438780e-03	4.028772e-01
6.081350012787326e-03	2.450052e-03	4.028797e-01
6.109420249055869e-03	2.461376e-03	4.028822e-01
6.137620051648091e-03	2.472753e-03	4.028847e-01
6.165950018614971e-03	2.484182e-03	4.028872e-01
6.194410750767966e-03	2.495664e-03	4.028897e-01
6.223002851691747e-03	2.507200e-03	4.028922e-01
6.251726927757012e-03	2.518788e-03	4.028948e-01
6.280583588133334e-03	2.530430e-03	4.028974e-01
6.309573444802088e-03	2.542127e-03	4.029000e-01
6.338697112569426e-03	2.553877e-03	4.029025e-01
6.367955209079316e-03	2.565682e-03	4.029051e-01
6.397348354826640e-03	2.577541e-03	4.029077e-01
6.426877173170357e-03	2.589455e-03	4.029104e-01
6.456542290346716e-03	2.601425e-03	4.029130e-01
6.486344335482547e-03	2.613450e-03	4.029157e-01
6.516283940608590e-03	2.625530e-03	4.029183e-01
6.546361740672914e-03	2.637666e-03	4.029210e-01
6.576578373554370e-03	2.649859e-03	4.029237e-01
6.606934480076127e-03	2.662108e-03	4.029264e-01
