VIN	V(vo)
2.490000000000000e+01	5.060666e+00
2.500000000000000e+01	5.060910e+00
2.510000000000000e+01	5.061153e+00
2.520000000000000e+01	5.061397e+00
2.530000000000000e+01	5.061639e+00
2.540000000000000e+01	5.061882e+00
2.550000000000000e+01	5.062123e+00
2.560000000000000e+01	5.062365e+00
2.570000000000000e+01	5.062605e+00
2.580000000000000e+01	5.062846e+00
2.590000000000000e+01	5.063086e+00
2.600000000000000e+01	5.063325e+00
2.610000000000000e+01	5.063564e+00
2.620000000000000e+01	5.063802e+00
2.630000000000000e+01	5.064040e+00
2.640000000000000e+01	5.064278e+00
2.650000000000000e+01	5.064515e+00
2.660000000000000e+01	5.064751e+00
2.670000000000000e+01	5.064988e+00
2.680000000000000e+01	5.065223e+00
2.690000000000000e+01	5.065458e+00
2.700000000000000e+01	5.065693e+00
2.710000000000000e+01	5.065928e+00
2.720000000000000e+01	5.066161e+00
2.730000000000000e+01	5.066395e+00
2.740000000000000e+01	5.066628e+00
2.750000000000000e+01	5.066860e+00
2.760000000000000e+01	5.067092e+00
2.770000000000000e+01	5.067324e+00
2.780000000000000e+01	5.067555e+00
2.790000000000000e+01	5.067786e+00
2.800000000000000e+01	5.068017e+00
2.810000000000000e+01	5.068246e+00
2.820000000000000e+01	5.068476e+00
2.830000000000000e+01	5.068705e+00
2.840000000000000e+01	5.068934e+00
2.850000000000000e+01	5.069162e+00
2.860000000000000e+01	5.069390e+00
2.870000000000000e+01	5.069617e+00
2.880000000000000e+01	5.069844e+00
2.890000000000000e+01	5.070071e+00
2.900000000000000e+01	5.070297e+00
2.910000000000000e+01	5.070523e+00
2.920000000000000e+01	5.070748e+00
2.930000000000000e+01	5.070973e+00
2.940000000000000e+01	5.071197e+00
2.950000000000000e+01	5.071421e+00
2.960000000000000e+01	5.071645e+00
2.970000000000000e+01	5.071868e+00
2.980000000000000e+01	5.072091e+00
2.990000000000000e+01	5.072313e+00
3.000000000000000e+01	5.072536e+00
