time	V(vo)
4.158772167802757e-03	1.069170e+01
4.158781861294559e-03	1.069206e+01
4.158799246616232e-03	1.069269e+01
4.158822471539059e-03	1.069354e+01
4.158845617723914e-03	1.069439e+01
4.158875733273086e-03	1.069549e+01
4.158915828943631e-03	1.069696e+01
4.158984168011273e-03	1.069945e+01
4.159098309503275e-03	1.070360e+01
4.159326592487279e-03	1.071187e+01
4.159674723248834e-03	1.072441e+01
4.160058409869340e-03	1.073810e+01
4.160544974868508e-03	1.075529e+01
4.161124027838486e-03	1.077555e+01
4.161226391352716e-03	1.077911e+01
4.161431118381177e-03	1.078615e+01
4.161840572438097e-03	1.080019e+01
4.161896648835906e-03	1.080210e+01
4.162008801631525e-03	1.080590e+01
4.162227970669625e-03	1.081332e+01
4.162324465140668e-03	1.081658e+01
4.162392912552790e-03	1.081888e+01
4.162437933293833e-03	1.082039e+01
4.162452526988071e-03	1.082088e+01
4.162461974774828e-03	1.082120e+01
4.162467085777350e-03	1.082137e+01
4.162472085118174e-03	1.082154e+01
4.162477085316260e-03	1.082170e+01
4.162484298967101e-03	1.082195e+01
4.162492484826186e-03	1.082222e+01
4.162502800047033e-03	1.082257e+01
4.162515646970706e-03	1.082300e+01
4.162531179987947e-03	1.082352e+01
4.162533575761819e-03	1.082360e+01
4.162534174705287e-03	1.082362e+01
4.162535372592223e-03	1.082366e+01
4.162535672063957e-03	1.082367e+01
4.162536271007425e-03	1.082369e+01
4.162536420743291e-03	1.082369e+01
4.162536514328208e-03	1.082370e+01
4.162536607913126e-03	1.082370e+01
4.162536701498042e-03	1.082370e+01
4.162536795082959e-03	1.082370e+01
4.162536888667876e-03	1.082371e+01
4.162536982252794e-03	1.082371e+01
4.162537075837710e-03	1.082371e+01
4.162537113271677e-03	1.082372e+01
4.162537176478885e-03	1.082372e+01
4.162537179180741e-03	1.082372e+01
4.162537184584454e-03	1.082372e+01
4.162537195391877e-03	1.082372e+01
4.162537206039591e-03	1.082372e+01
4.162537227213512e-03	1.082372e+01
4.162537264718919e-03	1.082372e+01
4.162537339729731e-03	1.082372e+01
4.162537489751357e-03	1.082373e+01
4.162537789794607e-03	1.082374e+01
4.162538389881110e-03	1.082376e+01
4.162539590054114e-03	1.082380e+01
4.162541990400123e-03	1.082388e+01
4.162546791092139e-03	1.082404e+01
4.162552657770687e-03	1.082423e+01
4.162560277069914e-03	1.082449e+01
4.162570420214222e-03	1.082483e+01
