Record Length,700
Source,CH1,CH2
No.,Volt,Volt
283,19.200001,0.000000
284,19.200001,0.000000
285,19.200001,0.000000
286,19.200001,0.000000
287,19.200001,-0.200000
288,19.000000,-0.200000
289,19.000000,0.000000
290,19.000000,0.000000
291,19.200001,-0.200000
292,19.200001,0.000000
293,19.200001,0.000000
294,19.200001,-0.200000
295,19.000000,0.000000
296,19.200001,0.000000
297,19.200001,0.000000
298,19.000000,-0.200000
299,19.200001,0.000000
300,19.000000,-0.200000
301,19.200001,-0.200000
302,19.000000,-0.200000
303,19.200001,-0.200000
304,19.000000,0.000000
305,19.200001,0.000000
306,19.200001,-0.200000
307,19.000000,-0.200000
308,19.000000,0.000000
309,19.000000,-0.200000
310,19.000000,0.000000
311,19.000000,0.000000
312,18.799999,-0.200000
313,17.000000,-0.200000
314,15.600000,0.000000
315,14.000000,0.000000
316,11.400000,-0.200000
317,8.000000,-0.200000
318,2.800000,-0.200000
319,-0.800000,-0.600000
320,-3.200000,-0.400000
321,-4.400000,-0.400000
322,-4.600000,-0.600000
323,-4.600000,-0.400000
324,-4.600000,-0.200000
325,-4.600000,0.800000
326,-4.600000,2.000000
327,-4.600000,3.000000
328,-4.400000,4.200000
329,-4.400000,5.200000
330,-4.200000,6.000000
331,-4.200000,6.600000
332,-4.200000,7.000000
333,-4.200000,7.400000
334,-4.200000,7.800000
335,-4.200000,8.000000
336,-4.200000,5.400000
337,-4.200000,3.600000
338,-4.400000,2.000000
339,-4.800000,1.200000
340,-4.800000,0.800000
341,-4.600000,0.400000
342,-4.600000,0.200000
343,-4.600000,0.000000
344,-4.600000,-0.200000
345,-4.600000,0.000000
346,-4.600000,0.000000
347,-4.600000,0.000000
348,-4.600000,-0.200000
349,-4.600000,0.000000
350,-4.600000,0.000000
351,-3.800000,-0.200000
352,-1.000000,-0.200000
353,1.600000,0.000000
354,9.800000,0.400000
355,12.400000,0.200000
356,14.000000,0.200000
357,15.400000,0.000000
358,16.400000,0.000000
359,17.000000,0.000000
