time	V(t)
4.181308109257925e-05	5.209437e+00
4.229879537829486e-05	5.209442e+00
4.278450966401047e-05	5.209446e+00
4.327022394972609e-05	5.209450e+00
4.375593823544171e-05	5.209453e+00
4.424165252115732e-05	5.209456e+00
4.472736680687294e-05	5.209459e+00
4.521308109258855e-05	5.209461e+00
4.569879537830416e-05	5.209464e+00
4.618450966401977e-05	5.209466e+00
4.667022394973539e-05	5.209468e+00
4.715593823545101e-05	5.209470e+00
4.764165252116662e-05	5.209472e+00
4.809879537831073e-05	5.209473e+00
4.855593823545483e-05	5.209474e+00
4.901308109259894e-05	5.209475e+00
4.947022394974305e-05	5.209477e+00
4.992736680688716e-05	5.209478e+00
5.038450966403126e-05	5.209478e+00
5.084165252117537e-05	5.209479e+00
5.094165252117564e-05	5.209479e+00
5.099999999999983e-05	5.209479e+00
